ID Progetto,File,Indirizzo,Imprese,Valore Stimato
461051,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Trento 7  33010 Treppo Grande ( UD ),IZC Costruzioni Generali srl,1852000
461115,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Centro Storico  55051 Barga ( LU ),CONSITAL Cons. Ital. Costr. Manutenzioni e Servizi; ProGeCo soc.coop.arl,1836000
461302,"PIEMONTE, LIGURIA, VENETO (1)",Via Da Vinci  10095 Grugliasco ( TO ),ArCo Lavori s.coop.consortile,6666000
461433,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via C. Breveglieri 2/2  44042 Cento ( FE ),Attiva Costruzioni srl; Cires Società Cooperativa; Consorzio Integra Società Cooperativa,1644000
461477,"PIEMONTE, LIGURIA, VENETO (1)",Via Erizzo  31035 Crocetta del Montello ( TV ),Mac Costruzioni srl Unipersonale,
461520,"PIEMONTE, LIGURIA, VENETO (1)",Via Bartolomeo da Breganze  36100 Vicenza ( VI ),Capogruppo ATI; ISI Industria Serramenti Italiana Srl; TSB srl,6515000
461533,"PIEMONTE, LIGURIA, VENETO (1)",Via De Gasperi 21  45100 Rovigo ( RO ),Semplice srl,1000000
461549,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",C.so della Giovecca 60  44121 Ferrara ( FE ),Cantieri SpA; Consorzio Innova Società Cooperativa,6225000
461604,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Alberto Sordi  58100 Grosseto ( GR ),SCAV PreMa srl Costruzioni Generali,1100000
461739,"PIEMONTE, LIGURIA, VENETO (1)",P.tta S.Stefano 8  32100 Belluno ( BL ),Edil Rental Group srl,2996000
461838,LOMBARDIA X FEDE,via Roma  20042 Pessano con Bornago ( MI ),ITM Consorzio Stabile; Oceania srl,5736000
461893,LOMBARDIA X FEDE,P.za Battisti 85  46024 Moglia ( MN ),Capogruppo ATI; SIME Restauri srl; Selva Mercurio srl,1411000
461956,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",V.le D'Agostino 2  40026 Imola ( BO ),Domus Aurea Consorzio Stabile scarl + Sistem Costruzioni srl,3371000
461983,"PIEMONTE, LIGURIA, VENETO (1)",C.so Savona  14100 Asti ( AT ),Ruscalla Renato SpA,1500000
462200,"PIEMONTE, LIGURIA, VENETO (1)",Via Eremitani 18  35121 Padova ( PD ),Lasa F.lli Nata srl; TSB srl,2695000
462362,"PIEMONTE, LIGURIA, VENETO (1)",Via Pier Carlo Boggio 59  10138 Torino ( TO ),Mattioda Pierino & Figli SpA,12000000
462518,LOMBARDIA X FEDE,Via Monte Cervino  20861 Brugherio ( MB ),Devero Costruzioni SpA,6400000
462603,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",P.za Righi  38086 Pinzolo ( TN ),Pavoni SpA,1600000
462671,"PIEMONTE, LIGURIA, VENETO (1)",P.za Mercato  30100 Venezia ( VE ),Capogruppo ATI; Hexa Green Srl; integrato,2836000
462699,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Fantini   40065 Pianoro ( BO ),GVG SpA,2329000
462870,LOMBARDIA X FEDE,via Marconi  21046 Malnate ( VA ),EdilEuropa srl,4691000
463038,"PIEMONTE, LIGURIA, VENETO (1)",P.za Alcide de Gasperi 1  10052 Bardonecchia ( TO ),Ginevra Builders srl,
463211,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",loc. Cesanella  60019 Senigallia ( AN ),Ebanisteria Caputo di Cataldo e Michele Caputo snc,2680000
463290,"PIEMONTE, LIGURIA, VENETO (1)",Via San Giovanni Lupatoto  37134 Verona ( VR ),Veco Costruzioni srl,2500000
463372,LOMBARDIA X FEDE,Via Visconti  24047 Treviglio ( BG ),Vecchierelli Restauri srl,2179000
463380,LOMBARDIA X FEDE,Loc. Portiolo  46027 San Benedetto Po ( MN ),MarSal Restauri srl,3198000
463397,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Cappella 109  41053 Maranello ( MO ),CME Consorzio Imprenditori Edili s.coop.,
463409,LOMBARDIA X FEDE,Via Paglia  24022 Alzano Lombardo ( BG ),Perico Renato srl,
463501,"PIEMONTE, LIGURIA, VENETO (1)",L.go Rosanna Benzi 10  16132 Genova ( GE ),ArCo Lavori s.coop.consortile; Capogruppo ATI; Euroimpianti SpA,45000000
463505,LOMBARDIA X FEDE,Via Cerca  25049 Iseo ( BS ),Belleri Silverio & C srl,3856000
463560,"PIEMONTE, LIGURIA, VENETO (1)",Via Barp 2  32026 Borgo Valbelluna ( BL ),Alpicos srl,1226000
463626,LOMBARDIA X FEDE,Via Treviglio 1/C  26013 Crema ( CR ),Fedil Costruzioni srl,785000
463961,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via del Municipio 2  47028 Verghereto ( FC ),Baglioni srl,1731000
463996,LOMBARDIA X FEDE,Via Alberico da Barbiano  20161 Milano ( MI ),AEP Attività Edilizie Pavesi SpA,10000000
464028,"PIEMONTE, LIGURIA, VENETO (1)",Via Stupinigi 155  10048 Vinovo ( TO ),Quintino Costruzioni SpA,4849000
464092,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Montevecchio  47921 Rimini ( RN ),Venturelli Romolo Srl,4237000
464097,"PIEMONTE, LIGURIA, VENETO (1)",P.za Ulisse Calvi 1  18100 Imperia ( IM ),Capogruppo ATI; Officine Manganiello srl,
464124,"PIEMONTE, LIGURIA, VENETO (1)",Via Gorizia 7  10136 Torino ( TO ),CLP Costruzioni srl,2108000
464254,LOMBARDIA X FEDE,V.le Resistenza 11  26845 Codogno ( LO ),Edil Rosa di Rosa Vincenzo,3960000
464288,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Loc.Antria  52100 Arezzo ( AR ),Galileo Progetto Edilizia srl,1050000
464512,LOMBARDIA X FEDE,Via Monte San Genesio 8  20158 Milano ( MI ),Lasema Costruzioni srl,7000000
464611,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Bellini  62024 Matelica ( MC ),Torelli Dottori SpA,4508000
464795,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Tambroni 24  47923 Rimini ( RN ),Zoldan Costruzioni Generali Srl,2544000
464809,LOMBARDIA X FEDE,Via Sforza 8  20122 Milano ( MI ),Capogruppo ATI; Eurosistemi srl; Martino srl,9212000
464989,"PIEMONTE, LIGURIA, VENETO (1)",Via Tinto  30174 Venezia ( VE ),Suninvest SpA,9000000
465249,LOMBARDIA X FEDE,Via al Dosso  22030 Montorfano ( CO ),Upgrading Services SpA,1925000
465926,"PIEMONTE, LIGURIA, VENETO (1)",Via Talin 1  31029 Vittorio Veneto ( TV ),Asolo Costruzioni & Restauri Srl; Capogruppo ATI,2345000
