Blocco,Ordine,ID Progetto,Indirizzo,Impresa,Tempo cumulato (s)
1,118,506187,P.za Adamo Boari  44124 Ferrara ( FE ),Geo Costruzioni srl; assegnato; integrato aggiudicato,209824
1,119,536106,via Sgarbata 1  44124 Ferrara ( FE ),Oceania Immobiliare sas di Braccio Giuseppe; assegnato,211811
1,120,510854,Loc. Uccellino  44124 Ferrara ( FE ),Arco srl; assegnato; integrato; integrato aggiudicato all'impresa segnalata che ha indicato i,213228
1,121,534561,Via Beethoven  44124 Ferrara ( FE ),Consorzio Nazionale Coop.Produzione Lavoro Ciro; assegnato,214816
1,122,510855,Via Verga 62  44124 Ferrara ( FE ),Rico Costruzioni srl; integrato; integrato aggiudicato all'impresa segnalata che ha indicato i,216072
1,123,519055,Via Bologna  44122 Ferrara ( FE ),Impresa Costruzioni Ing. Enrico Pasqualucci srl; assegnato; integrato; integrato aggiudicato all'impresa,217500
1,124,515418,Via Spadari  44121 Ferrara ( FE ),Costruzioni Borelli,219236
1,125,337356,Via Copparo  44123 Ferrara ( FE ),Bruni Costruzioni; assegnato,221031
1,126,497722,Via Nenni 41  44028 Poggio Renatico ( FE ),Medil srl Costruzioni Generali; integrato,223696
1,127,496671,Via Verga 2  44047 Terre del Reno ( FE ),Medil srl Costruzioni Generali,225508
1,128,522148,Via Larga  44042 Cento ( FE ),LUVA srl,227754
1,129,512015,via Col di Lana  44042 Cento ( FE ),Tassi Group Holding srl,229266
1,130,542242,Via Scarlatti   44042 Cento ( FE ),Edilsamos srl; assegnato,230938
1,131,461433,Via C. Breveglieri 2/2  44042 Cento ( FE ),Attiva Costruzioni srl; Cires Società Cooperativa; Consorzio Integra Società Cooperativa,232528
1,132,503806,Via Gandolfi  40050 Castello d'Argile ( BO ),Merighi srl,234620
1,133,538747,Via Rita Levi Montalcini 25  40016 San Giorgio di Piano ( BO ),Lacchei Impresa Edile; assegnato,236478
1,134,522684,Via Pietro Mennea 1/3  40016 San Giorgio di Piano ( BO ),Schibuola Costruzioni srl,237800
1,135,526893,Via Forlì  40018 San Pietro in Casale ( BO ),SEI Sistemi Edili Integrati srl,239640
1,136,535463,Via Matteotti  40018 San Pietro in Casale ( BO ),MA Costruzioni Impianti srl; assegnato; integrato; integrato aggiudicato all'impresa segnalata. Progetto esecutivo,241035
1,137,513949,Via S.Marina 35  40010 Bentivoglio ( BO ),Paolucci Costruzioni srl,243393
1,138,530220,Via Matteotti 12  40013 Castel Maggiore ( BO ),Cires Società Cooperativa,245158
1,139,451922,Via della Beverara  40131 Bologna ( BO ),ITI Impresa Generale SpA; aggiudicato all'impresa segnalata che ha; assegnato,247119
1,140,517610,via Terracini  40131 Bologna ( BO ),Gruppo Dipierri SpA,248570
1,141,274886,Via Ponente  40133 Bologna ( BO ),Impresa Percassi SpA,250092
1,142,528704,via Emilia Ponente 56  40100 Bologna ( BO ),Tecnocem srl,251553
1,143,536007,Via XX Settembre 31  40033 Casalecchio di Reno ( BO ),Tecnocem srl; assegnato,253207
1,144,519052,Via Alessandro Manzoni  40012 Calderara di Reno ( BO ),Industrie Edili SpA,254759
1,145,484759,Fr. Borgonuovo  40037 Sasso Marconi ( BO ),Capogruppo ATI; Consorzio Stabile Costruendo srl; assegnato; integrato aggiudicato alle imprese segnalate riunite in,256488
2,1,495412,Via Lama di Reno 30  40043 Marzabotto ( BO ),Balestri Srl; Effe-Gi Impianti Srl,0
2,2,540562,Via Lama di Reno  40043 Marzabotto ( BO ),Balestri Srl; assegnato,1308
2,3,518963,Via Nazionale 86  40038 Vergato ( BO ),IOLA Costruzioni srl,3497
2,4,519182,Loc. Ponte Palagio  40030 Grizzana Morandi ( BO ),Balestri Srl; Bernardi Sergio Srl; Capogruppo ATI; Tovoli Primo Srl,5378
2,5,524431,Via Fornaci 12  40030 Castel di Casio ( BO ),Balestri Srl,7277
2,6,525023,P.za Kennedy 6  40032 Camugnano ( BO ),Capogruppo ATI; Consorzio Stabile RCR; assegnato,10244
2,7,526592,Via Alpini d'Italia  40036 Monzuno ( BO ),Ingegneria & Costruzioni srl; assegnato,14069
2,8,510689,Navile  40122 Bologna ( BO ),G&G srl,17780
2,9,523990,Q.re. Navile  40126 Bologna ( BO ),Manelli Impresa Spa; assegnato,19302
2,10,533516,Via Sabotino 11-12  40131 Bologna ( BO ),RH Builder SpA; assegnato,21402
2,11,530862,Loc. Borgatella  40068 San Lazzaro di Savena ( BO ),Arcobaleno 2 SpA; assegnato,23828
2,12,536666,Via Emilia   40068 San Lazzaro di Savena ( BO ),Bononia Holding srl,25380
2,13,517541,Via Speranza  40068 San Lazzaro di Savena ( BO ),Gruppo Dipierri SpA,26706
2,14,533768,V.le Lenin 14/2-14/3  40139 Bologna ( BO ),Cooperativa Edificatrice Dozza; assegnato,28342
2,15,525391,Via Piave 1/2-1/3-1/4  40055 Castenaso ( BO ),Residenza Piave srl,30006
2,16,506787,Via Alda Merini 2   40055 Castenaso ( BO ),Abitare Villanova srl,31639
2,17,541704,Via V. Bellini  40054 Budrio ( BO ),Impresa Edile Calori,33346
2,18,541707,Via Berlinguer   40054 Budrio ( BO ),Smat Due di Massimo Tassinari & C. srl; assegnato,34807
2,19,532074,Via Berlinguer  40054 Budrio ( BO ),Impresa Zanardi srl,36007
2,20,532073,Via Orsoni  40054 Budrio ( BO ),Molinella Costruzioni srl,37247
2,21,541709,Via B. Orsoni   40054 Budrio ( BO ),Budrio Due Costruzioni srl; assegnato,38447
2,22,537531,Via Marangoni  40059 Medicina ( BO ),Next Design Group srl,40502
2,23,510814,Via Colombarina 2/b  40024 Castel San Pietro Terme ( BO ),Morelli 19 srl; assegnato,42483
2,24,515182,Via Collodi 3  40024 Castel San Pietro Terme ( BO ),Romagnoli Costruzioni Edili srl,44246
2,25,453271,Via Emilia  40064 Ozzano dell'Emilia ( BO ),Futura Costruzioni srl,45925
2,26,533214,C.so Garibaldi - Via Mazzini  40064 Ozzano dell'Emilia ( BO ),Beta srl; assegnato,47232
2,27,526451,Via F.lli Cervi - Via Mattei  40064 Ozzano dell'Emilia ( BO ),Bononia Holding srl,48602
2,28,491290,Via Puccini  40026 Imola ( BO ),Mucini Srl di Mucini Gianfranco,51687
2,29,537532,via Marangoni snc  40059 Medicina ( BO ),Agalmata srl,53159
