ID Progetto,File,Indirizzo,Imprese,Latitudine,Longitudine
461433,emilia romagna,Via C. Breveglieri 2/2  44042 Cento ( FE ),Attiva Costruzioni srl; Cires Società Cooperativa; Consorzio Integra Società Cooperativa,44.7306825,11.2910966
462603,TRENTINO ALTO ADIGE,P.za Righi  38086 Pinzolo ( TN ),Pavoni SpA,46.2307443,10.8265439
463397,emilia romagna,Via Cappella 109  41053 Maranello ( MO ),CME Consorzio Imprenditori Edili s.coop.,44.50715960000001,10.8729908
463902,PIEMONTE,Via San Massimo   10040 Rivalta di Torino ( TO ),Morabito Costruzioni; assegnato,45.0241452,7.5241293
463961,emilia romagna,Via del Municipio 2  47028 Verghereto ( FC ),Baglioni srl,43.79529,12.00567
464092,emilia romagna,Via Montevecchio  47921 Rimini ( RN ),Venturelli Romolo Srl,44.0053215,12.5549224
464255,TRENTINO ALTO ADIGE,39040 Trodena nel parco naturale ( BZ ),Holzbau Brida srl,46.3225071,11.3493661
464989,Veneto senza verona e vicenza,Via Tinto  30174 Venezia ( VE ),Suninvest SpA,45.5107111,12.2447528
465703,PIEMONTE,Via S.Maria  12030 Lagnasco ( CN ),Edil Costruzioni srl; assegnato,44.6255107,7.551994
468109,Veneto senza verona e vicenza,Via Don Lorenzo Milani  35020 Arzergrande ( PD ),Edil Ciemme srl,45.2749243,12.0754167
468342,PIEMONTE,Str. Profonda  12051 Alba ( CN ),Domus sas,44.6850837,8.0364157
469010,Veneto senza verona e vicenza,Via Valeri  35131 Padova ( PD ),Consorzio Stabile Pedron Costruzioni Generali; assegnato,45.4148775,11.8811874
469121,PIEMONTE,Via C.L.N.   10095 Grugliasco ( TO ),Cogeor srl; assegnato,45.0675383,7.5679174
469338,TRENTINO ALTO ADIGE,38060 Calliano ( TN ),Capogruppo ATI; Pojer Enzo & C.snc Impresa Costruzioni,45.93515379999999,11.0942374
469977,emilia romagna,Via Nonantolana 221  41122 Modena ( MO ),ArCo Lavori s.coop.consortile; VF Costruzioni e Restauri Srl + Scientia srl,44.6542744,10.9396493
470153,PIEMONTE,C.so Goffredo Mameli 153  28921 Verbania ( VB ),Seven srl; assegnato,45.9362264,8.5758827
470256,PIEMONTE,Via Druento  10044 Pianezza ( TO ),Neglia Costruzioni srl,45.1118731,7.5596479
472222,TRENTINO ALTO ADIGE,Via Castel Flavon 5  39100 Bolzano ( BZ ),Dalle Nogare Costruzioni srl,46.4886044,11.3484601
473208,Veneto senza verona e vicenza,Via Monte Bianco  31044 Montebelluna ( TV ),(nominativo al momento non dichiarato),45.7701292,12.026915
474845,PIEMONTE,Via Pisa 18  10152 Torino ( TO ),Fiammengo Federico srl,45.0782151,7.6917613
474849,PIEMONTE,Via Langrage 35  10123 Torino ( TO ),Primula Costruzioni srl,45.0645345,7.681906100000001
474884,PIEMONTE,via Don Orione  12042 Bra ( CN ),Mondavi Costruzioni Bra; assegnato,44.7141578,7.8318533
476035,emilia romagna,Loc. Castelguelfo  43010 Fontevivo ( PR ),Scaramuzza Fabrizio srl,44.825244,10.211905
477671,emilia romagna,Via Canaletto  41124 Modena ( MO ),ITI Impresa Generale SpA; assegnato; integrato,44.6569468,10.9323436
477823,PIEMONTE,Area ex campo base TAV  28100 Novara ( NO ),MIT srl,45.4467749,8.6168696
477828,PIEMONTE,Area ex Campo Base TAV  28100 Novara ( NO ),Capogruppo ATI; Dussmann Service Italia,45.4467749,8.6168696
478145,Veneto senza verona e vicenza,Via Cavour  30014 Cavarzere ( VE ),Capogruppo ATI; Erre Costruzioni srl; Sogedico srl; integrato; integrato aggiudicato alle imprese segnalate riunite in ATI.,45.1399718,12.085654
478537,PIEMONTE,Via Cordara  14049 Nizza Monferrato ( AT ),Branda srl; assegnato,44.7745533,8.3551909
478867,PIEMONTE,Via Cravero 107  10095 Grugliasco ( TO ),Selva Mercurio srl,45.06256,7.580214299999999
479028,emilia romagna,Via P. Togliatti  40050 Monte San Pietro ( BO ),Ter Costruzioni srl,44.4484287,11.1893038
479436,emilia romagna,PEEP Q.re Farnesiana  29122 Piacenza ( PC ),BeGen Infrastrutture srl,45.0300347,9.7138525
479847,TRENTINO ALTO ADIGE,Via Carlo Devigili  38017 Mezzolombardo ( TN ),De Vigili Imm.re srl,46.2089268,11.0995313
480168,PIEMONTE,Fr. Pieggio  28824 Oggebbio ( VB ),Fracti Costruzioni srl; assegnato,45.9959935,8.6510745
480474,Veneto senza verona e vicenza,Via Pizzamano 34  35127 Padova ( PD ),IPS Srl,45.3714459,11.9106245
480772,PIEMONTE,Via Stazione  10090 Rosta ( TO ),Crisma Costruzioni,45.0745412,7.4628222
480889,PIEMONTE,C.so Susa  10098 Rivoli ( TO ),Ortoncelli Costruzioni srl; assegnato,45.0801571,7.5080571
481673,emilia romagna,Via Brando Brandi  47121 Forlì ( FC ),Olivucci Enea Srl,44.1772213,12.0689615
482388,PIEMONTE,Q.re Sant'Agabio  28100 Novara ( NO ),Mattioda Pierino & Figli SpA; integrato,45.4458388,8.637461199999999
482730,PIEMONTE,Via Alfazio 5  10046 Poirino ( TO ),Capogruppo ATI; Dicearco Costruzioni srl; Pace Costruzioni srl,44.9211025,7.846222300000001
484444,PIEMONTE,Via San Damiano Macra  12100 Cuneo ( CN ),COIFA srl; Romano Costruzioni & C srl - Gruppo Romano,44.3963666,7.5189003
484759,emilia romagna,Fr. Borgonuovo  40037 Sasso Marconi ( BO ),Capogruppo ATI; Consorzio Stabile Costruendo srl; assegnato; integrato aggiudicato alle imprese segnalate riunite in,44.4406982,11.2736358
484905,PIEMONTE,10060 San Secondo di Pinerolo ( TO ),Francesco Romano srl; assegnato,44.8653995,7.2989473
484950,PIEMONTE,Via Rocca de Baldi 7  12100 Cuneo ( CN ),COIFA srl; Capogruppo ATI,44.3904757,7.566931800000001
485035,PIEMONTE,14019 Villanova d'Asti ( AT ),RR snc di Bollito e Carullo,44.9422816,7.9377458
485904,Veneto senza verona e vicenza,35100 Padova ( PD ),Industrie Edili SpA; assegnato,45.4108465,11.8702298
486094,Veneto senza verona e vicenza,Via Chiesa Prà 53  35042 Este ( PD ),Atheste Costruzioni srl; aggiudicato all'impresa segnalata che ha offerto il ribasso del 6%.; assegnato,45.2079207,11.6506596
486105,Veneto senza verona e vicenza,35042 Este ( PD ),Fae di Farina Andrea & C Snc + Zennaro Costruzioni Srl; aggiudicato all'impresa segnalata che ha offerto; assegnato,45.2290261,11.6566254
486107,Veneto senza verona e vicenza,Via San Girolamo  35042 Este ( PD ),Ruffato Mario srl; aggiudicato all'impresa segnalata che ha offerto il; assegnato,45.2276213,11.6592289
486880,PIEMONTE,Fr. Abbadia Alpina  10064 Pinerolo ( TO ),ICR Costruzioni srl,44.88587159999999,7.3095834
488230,PIEMONTE,Via Roma  13854 Quaregna Cerreto ( BI ),ISI Costruzioni Generali srl,45.5671617,8.153512
488911,Veneto senza verona e vicenza,Via San Francesco  35020 Ponte San Nicolò ( PD ),Scapin Costruzioni srl,45.3616573,11.9374784
489197,PIEMONTE,P.za Alciati 4-11-15  13100 Vercelli ( VC ),Notarimpresa SpA,45.3245668,8.424615900000001
489424,PIEMONTE,Via Giaveno   10040 Rivalta di Torino ( TO ),Gemina srl,45.0132074,7.5045824
489601,PIEMONTE,Via Botoneri  12062 Cherasco ( CN ),Marengo Costruzioni srl; assegnato,44.6433438,7.8569318
489606,PIEMONTE,V.le Stazione 3  10024 Moncalieri ( TO ),PaREd srl,44.99888860000001,7.679682099999999
489613,PIEMONTE,C.so Trieste 41  10024 Moncalieri ( TO ),Consorzio Stabile Energos; Fenix Consorzio Stabile scarl,45.009234,7.670859699999999
489615,PIEMONTE,Via S.Maria 78/80/82  10024 Moncalieri ( TO ),Studio Oikos srl,44.9920664,7.6638633
489750,emilia romagna,Loc. Quara  42010 Toano ( RE ),Tazzioli e Magnani srl,44.356627,10.5078975
489767,PIEMONTE,Via G. Ferraris  13100 Vercelli ( VC ),Notarimpresa SpA,45.3277404,8.4200875
490142,PIEMONTE,Via Dante 87-89  13100 Vercelli ( VC ),Notarimpresa SpA,45.3266061,8.4197123
490161,emilia romagna,Via Zanasi 60  41013 Castelfranco Emilia ( MO ),Capogruppo ATI; Mei Tecnologie e Costruzioni srl,44.593983,11.052136
490196,emilia romagna,Via Europa  47822 Santarcangelo di Romagna ( RN ),FLP Costruzioni srl,44.0604613,12.4577732
490467,emilia romagna,Via Grandi 195  41019 Soliera ( MO ),ArCo Lavori s.coop.consortile; VF Costruzioni e Restauri srl,44.73987289999999,10.925054
490728,PIEMONTE,10023 Chieri ( TO ),GL Costruzioni srl,45.013725,7.8231364
490773,PIEMONTE,St. Becco d'Ania  12038 Savigliano ( CN ),Immobiliare Santarosa srl,44.6481313,7.6539457
491208,Veneto senza verona e vicenza,35030 Selvazzano Dentro ( PD ),Coeb Costruzioni srl,45.387051,11.7915896
491290,emilia romagna,Via Puccini  40026 Imola ( BO ),Mucini Srl di Mucini Gianfranco,44.3462132,11.6855878
491589,Veneto senza verona e vicenza,Via Stadio 16  31015 Conegliano ( TV ),Golden Art srl,45.8814895,12.3047018
491816,PIEMONTE,Via Santa Caterina 25  15011 Acqui Terme ( AL ),Bianchi Costruzioni sas di Bianchi geom Carlo e C,44.6733784,8.464229999999999
492294,emilia romagna,Via La Spezia  43100 Parma ( PR ),assegnato,44.783076,10.2901098
493004,PIEMONTE,C.so Alfieri 22  14100 Asti ( AT ),(nominativo al momento non dichiarato),44.9025523,8.212357899999999
493574,Veneto senza verona e vicenza,Via Carlo Goldoni  35010 Massanzago ( PD ),Fam Real Estate; assegnato,45.5534686,12.0013151
493747,emilia romagna,Via Tine  44022 Comacchio ( FE ),Cires Società Cooperativa; Consorzio Integra Società Cooperativa; Seep Bo srl; assegnato,44.6859721,12.1940148
493748,emilia romagna,Via Risorgimento  44022 Comacchio ( FE ),Alco Costruzioni srl,44.6783948,12.2299464
494465,emilia romagna,Via Mar Nero  41012 Carpi ( MO ),Garc SpA; assegnato,44.8213778,10.88605
494586,PIEMONTE,Via Calderara 12-18  28100 Novara ( NO ),Gruppo Tecnoimprese srl,45.4453275,8.645506899999999
